sndbuf,rcvbuf,throughput_mbps
32768,32768,5835.454610367788
32768,65536,5713.476932349407
32768,131072,5006.934205737803
32768,262144,4924.884059596499
32768,524288,3371.678324500105
65536,32768,4140.220733989689
65536,65536,4758.515692262864
65536,131072,3686.8272844319995
65536,262144,5834.335770184588
65536,524288,4177.4010038809465
131072,32768,5421.8462129124555
131072,65536,6179.794812806507
131072,131072,5546.243486673788
131072,262144,5023.714875902426
131072,524288,4238.422710488766
262144,32768,5781.331759548256
262144,65536,5189.752355555564
262144,131072,5191.565063298569
262144,262144,5801.099688691933
262144,524288,3833.121511877431
524288,32768,5422.616545592734
524288,65536,5892.789362949713
524288,131072,5084.271763323829
524288,262144,5969.919254927207
524288,524288,3420.0480378505517